timestamp,funding,price,volume
1663660800000,5.855E-5,19349.90,345576.395
1663689600000,1.721E-5,19225.70,263016.531
1663718400000,5.185E-5,18866.70,140621.313
1663747200000,1.478E-5,18938.70,283519.803
1663776000000,2.732E-5,19182.60,743927.863
1663804800000,-1.1779E-4,18447.50,219795.540
1663833600000,-6.911E-5,18923.80,386058.488
1663862400000,7.743E-5,18975.50,247044.363
1663891200000,7.261E-5,19392.50,133442.953
1663920000000,2.959E-5,19216.50,392541.257
1663948800000,-5.008E-5,18704.40,312509.536
1663977600000,2.947E-5,19280.70,132839.838
1664006400000,1.676E-5,18985.60,128002.870
1664035200000,5.345E-5,19115.20,116315.507
1664064000000,9.99E-6,18910.90,79512.133
1664092800000,3.653E-5,19089.10,141534.515
1664121600000,2.593E-5,18978.40,189414.955
1664150400000,-6.6E-6,18799.70,179913.622
1664179200000,3.696E-5,18902.30,426669.805
1664208000000,4.497E-5,19103.80,171224.091
1664236800000,2.244E-5,19216.30,415877.236
1664265600000,1.0E-4,20174.20,329801.112
1664294400000,8.538E-5,19885.30,554887.810
1664323200000,1.141E-5,19070.10,306540.991
1664352000000,-1.071E-5,18770.50,506509.308
1664380800000,5.332E-5,19477.90,328172.473
1664409600000,5.681E-5,19407.40,208264.861
1664438400000,7.641E-5,19353.20,470242.191
1664467200000,6.685E-5,19280.70,313171.172
1664496000000,1.0E-4,19582.50,182672.728
1664524800000,1.0E-4,19560.80,531353.734
1664553600000,1.0E-4,19749.50,357436.472
1664582400000,3.198E-5,19411.60,95277.299
1664611200000,1.0E-4,19305.50,116615.295
1664640000000,7.005E-5,19322.90,82564.415
1664668800000,4.262E-5,19304.00,83807.562
1664697600000,5.816E-5,19276.50,157713.021
1664726400000,5.384E-5,19137.10,173449.868
1664755200000,3.996E-5,19049.30,152934.768
1664784000000,8.316E-5,19190.00,252036.204
1664812800000,1.0E-4,19330.00,216845.357
1664841600000,1.0E-4,19621.90,193146.287
1664870400000,1.0E-4,19957.00,352424.007
1664899200000,1.0E-4,20092.20,251108.468
1664928000000,1.0E-4,20332.90,129040.685
1664956800000,1.0E-4,20218.80,327684.794
1664985600000,1.0E-4,19994.60,262851.670
1665014400000,1.0E-4,20149.90,224627.504
1665043200000,1.0E-4,20214.70,370259.434
1665072000000,1.0E-4,20004.30,187147.731
1665100800000,1.0E-4,19954.00,111612.985
1665129600000,1.0E-4,19916.70,379098.285
1665158400000,7.513E-5,19574.10,182695.832
1665187200000,3.85E-5,19520.90,72772.434
1665216000000,7.345E-5,19489.80,70947.634
1665244800000,4.149E-5,19479.90,109537.133
1665273600000,3.246E-5,19406.30,67052.546
1665302400000,1.776E-5,19398.30,104857.888
1665331200000,1.951E-5,19524.50,95268.361
1665360000000,6.241E-5,19430.00,85574.375
1665388800000,6.069E-5,19401.30,274526.258
1665417600000,1.0E-4,19261.70,200820.271
1665446400000,1.0E-4,19124.10,169367.682
1665475200000,1.0E-4,19075.10,293162.593
1665504000000,1.0E-4,19137.60,140828.049
1665532800000,1.0E-4,19055.00,109776.238
1665561600000,1.0E-4,19103.40,194006.186
1665590400000,1.0E-4,19130.60,102987.864
1665619200000,7.466E-5,19148.10,114350.541
1665648000000,1.0E-4,19000.00,667689.712
1665676800000,3.936E-5,18947.70,322574.748
1665705600000,3.235E-5,19365.40,277332.712
1665734400000,1.0E-4,19633.20,380783.640
1665763200000,8.395E-5,19352.90,203336.858
1665792000000,4.317E-5,19164.60,53637.542
1665820800000,3.772E-5,19159.10,106751.381
1665849600000,4.563E-5,19119.50,81131.262
1665878400000,2.735E-5,19060.40,47035.713
1665907200000,4.61E-6,19124.10,66615.681
1665936000000,3.394E-5,19148.70,154269.798
1665964800000,3.31E-6,19251.80,86298.777
