datetime;open;high;low;close
2024-02-26 05:00:00;2032.37000;2032.94995;2032.22998;2032.88000
2024-02-26 04:45:00;2032.92004;2032.93005;2032.15002;2032.30005
2024-02-26 04:30:00;2032.34998;2032.93994;2032.23999;2032.89001
2024-02-26 04:15:00;2032.52002;2032.98999;2032.28003;2032.30005
2024-02-26 04:00:00;2032.58997;2032.68994;2032.17004;2032.51001
2024-02-26 03:45:00;2031.73999;2032.60999;2031.73999;2032.59998
2024-02-26 03:30:00;2031.56006;2031.84998;2031.37000;2031.72998
2024-02-26 03:15:00;2030.91003;2031.82996;2030.91003;2031.62000
2024-02-26 03:00:00;2030.97998;2031.38000;2030.73999;2030.87000
2024-02-26 02:45:00;2031.35999;2031.46997;2030.81995;2030.85999
2024-02-26 02:30:00;2031.01001;2031.76001;2030.85999;2031.32996
2024-02-26 02:15:00;2031.62000;2031.79004;2030.68994;2031.04004
2024-02-26 02:00:00;2031.32996;2031.94995;2030.91003;2031.63000
2024-02-26 01:45:00;2033.77002;2034.10999;2031.33997;2031.33997
2024-02-26 01:30:00;2032.69995;2033.94995;2032.41003;2033.75000
2024-02-26 01:15:00;2032.25000;2033.08997;2031.59998;2032.71997
2024-02-26 01:00:00;2030.48999;2032.44995;2029.94995;2032.19995
2024-02-26 00:45:00;2030.60999;2031.01001;2029.96997;2030.38000
2024-02-26 00:30:00;2032.26001;2032.57996;2030.52002;2030.66003
2024-02-26 00:15:00;2033.43005;2033.78003;2032.07996;2032.19995
2024-02-26 00:00:00;2034.09998;2034.10999;2032.79004;2033.39001
2024-02-25 23:45:00;2034.16003;2034.67004;2033.85999;2034.08997
2024-02-25 23:30:00;2034.81995;2034.81995;2034.09998;2034.26001
2024-02-25 23:15:00;2033.66003;2035.06006;2033.47998;2034.83997
2024-02-25 23:00:00;2034.09998;2034.53003;2032.95996;2033.78003
2024-02-23 21:45:00;2035.96997;2036.28003;2035.48999;2035.56006
2024-02-23 21:30:00;2035.35999;2036.10999;2035.16003;2035.98999
2024-02-23 21:15:00;2036.09998;2036.12000;2035.28003;2035.33997
