datetime;open;high;low;close;volume
2023-01-31 15:45:00;33781.66016;33828.07031;33768.60156;33779.80078;9272221
2023-01-31 15:30:00;33786.80859;33797.10938;33750.92969;33782.10938;8228971
2023-01-31 15:15:00;33753.42969;33792.12109;33732.83984;33784.91016;10755293
2023-01-31 15:00:00;33709.62891;33755.91016;33664.91016;33751.42188;13319603
2023-01-31 14:45:00;33753.03906;33791.62109;33705.98047;33717.21875;20374653
2023-01-31 14:30:00;33803.55859;33803.55859;33671.96094;33756.37109;16367615
2023-01-30 20:45:00;33756.39844;33768.55859;33695.17969;33720.92188;33871581
2023-01-30 20:30:00;33711.07031;33779.37891;33696.17188;33758.05078;12918745
2023-01-30 20:15:00;33741.53906;33746.62891;33703.33984;33711.21094;11735749
2023-01-30 20:00:00;33768.41016;33795.21094;33738.76953;33742.50000;10300547
2023-01-30 19:45:00;33787.53906;33793.33984;33741.66016;33768.23047;8019827
2023-01-30 19:30:00;33784.94141;33814.62891;33772.23047;33787.73047;7650004
2023-01-30 19:15:00;33824.46094;33824.46094;33784.89844;33784.89844;7071961
2023-01-30 19:00:00;33867.19141;33876.03125;33809.57812;33825.07812;6354775
2023-01-30 18:45:00;33858.55078;33870.28125;33837.37109;33867.05859;6282533
2023-01-30 18:30:00;33903.94922;33903.94922;33841.94922;33858.28906;7236053
2023-01-30 18:15:00;33869.42969;33931.83984;33852.89062;33903.87891;7551076
2023-01-30 18:00:00;33860.32031;33877.41016;33833.08984;33869.46875;6931906
2023-01-30 17:45:00;33905.83984;33905.83984;33853.89062;33860.98828;8410263
2023-01-30 17:30:00;33906.85938;33922.92969;33888.23047;33905.50000;7049911
2023-01-30 17:15:00;33937.07031;33937.30859;33865.83984;33907.10938;8518138
2023-01-30 17:00:00;33920.85156;33940.51172;33903.28906;33937.32031;8369911
2023-01-30 16:45:00;33875.26953;33924.78906;33832.16016;33919.83984;7854621
2023-01-30 16:30:00;33924.12109;33935.62109;33871.32812;33874.87109;9702926
2023-01-30 16:15:00;33972.16016;33998.26172;33876.96875;33924.08984;13569842
2023-01-30 16:00:00;33942.17969;33995.44922;33917.35156;33972.80859;10045637
2023-01-30 15:45:00;33918.14844;33946.10156;33858.82031;33941.98047;11156956
2023-01-30 15:30:00;34028.35156;34028.80859;33904.78906;33920.01172;11551634
2023-01-30 15:15:00;34041.23047;34054.66016;33975.92188;34027.62109;13108934
2023-01-30 15:00:00;33984.75000;34055.28906;33982.83984;34042.46875;13847287
2023-01-30 14:45:00;33932.98047;33991.78125;33899.62109;33983.58984;14185192
2023-01-30 14:30:00;33909.21094;33953.92969;33855.66016;33933.83984;16812963
2023-01-27 20:45:00;34080.35156;34080.35156;33955.30859;33974.62109;36799645
2023-01-27 20:30:00;34115.67969;34125.03125;34075.03125;34078.57812;15055425
2023-01-27 20:15:00;34114.89844;34126.07031;34081.89062;34115.35938;11160907
2023-01-27 20:00:00;34112.87109;34164.32812;34112.87109;34115.03906;11149593
2023-01-27 19:45:00;34095.69141;34125.30078;34087.28906;34112.67969;9584783
2023-01-27 19:30:00;34084.85156;34109.98828;34074.32812;34096.05078;9143656
2023-01-27 19:15:00;34043.17188;34091.98828;34043.17188;34085.69922;8841836
2023-01-27 19:00:00;34025.23047;34057.96094;34005.83984;34043.05078;8298123
2023-01-27 18:45:00;34030.66016;34042.35938;34011.50000;34025.39844;8524371
2023-01-27 18:30:00;34020.44141;34051.30859;34008.28125;34031.44922;9310612
2023-01-27 18:15:00;34036.23047;34036.23047;33997.60938;34021.55078;6850782
2023-01-27 18:00:00;34064.37109;34072.98047;34023.46875;34036.16016;7940290
2023-01-27 17:45:00;34035.26953;34080.32812;34030.85938;34064.50000;8930872
2023-01-27 17:30:00;33996.78125;34051.25000;33990.25000;34035.05078;8522443
2023-01-27 17:15:00;34013.62109;34054.89844;33988.16016;33997.21094;11352152
2023-01-27 17:00:00;34005.85938;34017.69141;33985.46094;34012.80859;9891573
2023-01-27 16:45:00;34016.89844;34020.33984;33979.92969;34005.89844;9395326
2023-01-27 16:30:00;33944.76953;34025.48828;33944.76953;34017.17969;11818880
2023-01-27 16:15:00;33883.19141;33960.10156;33876.46094;33946.17969;12640756
2023-01-27 16:00:00;33876.53906;33907.07031;33857.01172;33883.53906;12365493
2023-01-27 15:45:00;33952.58984;33953.23047;33830.85156;33876.17188;15633455
2023-01-27 15:30:00;34001.12891;34010.35156;33939.28906;33951.76172;18356532
2023-01-27 15:15:00;34062.46094;34068.92188;33984.76172;34001.73047;18883400
2023-01-27 15:00:00;34017.60156;34116.44922;34003.62109;34061.44141;23403718
2023-01-27 14:45:00;33975.76172;34044.19141;33974.62891;34010.05078;30698002
2023-01-27 14:30:00;33952.92969;33987.60938;33908.78906;33977.94922;37786112
2023-01-26 20:45:00;33876.85156;33953.78906;33872.48828;33946.30859;36668582
2023-01-26 20:30:00;33903.98047;33921.14844;33876.87109;33877.96875;13940092
2023-01-26 20:15:00;33887.46875;33931.07812;33885.53125;33904.37891;10737502
2023-01-26 20:00:00;33871.26953;33892.96094;33850.25000;33887.53906;8792831
2023-01-26 19:45:00;33872.80859;33887.19922;33840.07031;33872.62891;8301786
2023-01-26 19:30:00;33831.55078;33884.62891;33831.55078;33872.66016;9133600
2023-01-26 19:15:00;33840.35156;33868.46875;33809.87109;33831.32812;8072253
2023-01-26 19:00:00;33857.67188;33857.67188;33827.14844;33839.96094;7051161
2023-01-26 18:45:00;33873.67969;33906.76953;33846.83984;33858.00000;7044687
2023-01-26 18:30:00;33805.71094;33890.71875;33805.03906;33873.67188;8256848
2023-01-26 18:15:00;33796.73047;33816.46875;33771.58984;33805.32812;6204850
2023-01-26 18:00:00;33792.19141;33816.96094;33757.30078;33796.37109;7226584
2023-01-26 17:45:00;33792.39062;33816.60156;33757.32812;33791.89844;6910860
2023-01-26 17:30:00;33801.60938;33820.78125;33787.73828;33792.39844;5570724
2023-01-26 17:15:00;33821.58984;33821.85156;33787.53906;33801.96875;5821532
2023-01-26 17:00:00;33750.42188;33843.42188;33750.42188;33822.07031;7248123
2023-01-26 16:45:00;33741.87891;33754.28125;33715.26172;33751.07031;6631117
2023-01-26 16:30:00;33704.96094;33750.19922;33696.87891;33741.42188;7901562
2023-01-26 16:15:00;33704.96094;33744.21875;33650.19922;33704.87109;9110062
2023-01-26 16:00:00;33659.73047;33704.57031;33636.48828;33704.57031;8956631
2023-01-26 15:45:00;33760.12109;33774.48828;33635.60156;33659.83984;11330129
2023-01-26 15:30:00;33807.67969;33849.01953;33743.62891;33760.53125;10397450
2023-01-26 15:15:00;33746.55078;33828.00000;33743.03125;33808.42188;11216616
2023-01-26 15:00:00;33719.16016;33758.48047;33664.50000;33746.55078;12482319
2023-01-26 14:45:00;33832.25000;33861.19922;33665.51953;33718.73047;16432540
2023-01-26 14:30:00;33771.66016;33921.23047;33771.66016;33829.55078;20029807
2023-01-25 20:45:00;33702.83984;33739.62891;33668.17969;33739.62891;28097617
2023-01-25 20:30:00;33716.69922;33738.85938;33684.46094;33702.73828;12157901
2023-01-25 20:15:00;33727.73047;33735.21094;33692.42188;33716.48047;10086751
2023-01-25 20:00:00;33714.73828;33773.08984;33714.73828;33728.14062;9924185
2023-01-25 19:45:00;33687.10938;33729.16016;33671.76953;33714.60156;7527502
2023-01-25 19:30:00;33669.32812;33687.32031;33636.21094;33687.32031;7336567
2023-01-25 19:15:00;33693.96094;33732.51172;33654.48828;33669.16016;10000049
